months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
39.2,100,0.00354988420838,8.22118525382e-16,0.2,2500,1000.99645012,0.00118329473613,3,2.89487796335e-11
39.3,100,0.00343155473477,7.9471231762e-16,0.2,2500,1000.99656845,0.00114385157826,3,2.89486974216e-11
39.4,100,0.00331716957694,7.68219798077e-16,0.2,2500,1000.99668283,0.00110572319231,3,2.89486179504e-11
39.5,100,0.00320659725771,7.42610500777e-16,0.2,2500,1000.9967934,0.00106886575257,3,2.89485411284e-11
39.6,100,0.00309971068245,7.17854975916e-16,0.2,2500,1000.99690029,0.00103323689415,3,2.89484668674e-11
39.7,100,0.00299638699304,6.93924755941e-16,0.2,2500,1000.99700361,0.000998795664347,3,2.89483950819e-11
39.8,100,0.00289650742661,6.70792322777e-16,0.2,2500,1000.99710349,0.000965502475535,3,2.89483256894e-11
39.9,100,0.00279995717905,6.48431076132e-16,0.2,2500,1000.99720004,0.000933319059684,3,2.89482586102e-11
40,100,0.00270662527308,6.2681530288e-16,0.2,2500,1000.99729337,0.000902208424361,3,2.8948193767e-11
40.1,100,0.00261640443065,6.05920147449e-16,0.2,2500,1000.9973836,0.000872134810216,3,2.89481310855e-11
40.2,100,0.00252919094963,5.8572158321e-16,0.2,2500,1000.99747081,0.000843063649875,3,2.89480704935e-11
40.3,100,0.00244488458464,5.66196384819e-16,0.2,2500,1000.99755512,0.000814961528213,3,2.89480119213e-11
40.4,100,0.00236338843182,5.47322101479e-16,0.2,2500,1000.99763661,0.000787796143939,3,2.89479553017e-11
40.5,100,0.00228460881742,5.29077031096e-16,0.2,2500,1000.99771539,0.000761536272474,3,2.89479005695e-11
40.6,100,0.00220845519018,5.11440195305e-16,0.2,2500,1000.99779154,0.000736151730059,3,2.89478476618e-11
40.7,100,0.00213484001717,4.9439131532e-16,0.2,2500,1000.99786516,0.000711613339057,3,2.89477965178e-11
40.8,100,0.00206367868326,4.77910788598e-16,0.2,2500,1000.99793632,0.000687892894421,3,2.89477470786e-11
40.9,100,0.00199488939382,4.61979666275e-16,0.2,2500,1000.99800511,0.000664963131274,3,2.89476992876e-11
41,100,0.00192839308069,4.46579631363e-16,0.2,2500,1000.99807161,0.000642797693565,3,2.89476530896e-11
41.1,100,0.00186411331134,4.31692977671e-16,0.2,2500,1000.99813589,0.000621371103779,3,2.89476084316e-11
41.2,100,0.00180197620096,4.17302589428e-16,0.2,2500,1000.99819802,0.000600658733654,3,2.89475652623e-11
41.3,100,0.0017419103276,4.03391921591e-16,0.2,2500,1000.99825809,0.000580636775865,3,2.89475235321e-11
41.4,100,0.00168384665001,3.89944980804e-16,0.2,2500,1000.99831615,0.00056128221667,3,2.89474831929e-11
41.5,100,0.00162771842834,3.76946307001e-16,0.2,2500,1000.99837228,0.000542572809447,3,2.89474441984e-11
41.6,100,0.0015734611474,3.64380955613e-16,0.2,2500,1000.99842654,0.000524487049132,3,2.89474065038e-11
